system,country,origin,status,url,class
(Unknown) vehicle,Russia,Russia,destroyed,https://i.postimg.cc/6p16np14/480.png,"Trucks, Vehicles, and Jeeps"
(Unknown) vehicle,Russia,Russia,destroyed,https://i.postimg.cc/L5WpLtHC/370.png,"Trucks, Vehicles, and Jeeps"
(Unknown) vehicle,Russia,Russia,captured,https://i.postimg.cc/WbLxNxYp/f1.jpg,"Trucks, Vehicles, and Jeeps"
(Unknown) vehicle,Russia,Russia,destroyed,https://i.postimg.cc/v8Jyk5sf/4k.png,"Trucks, Vehicles, and Jeeps"
(Unknown) vehicle,Russia,Russia,destroyed,https://i.postimg.cc/cLy31D99/557.png,"Trucks, Vehicles, and Jeeps"
100mm MT-12 anti-tank gun,Ukraine,Soviet Union,captured,https://i.postimg.cc/kX1Fgtzm/542f.png,Towed Artillery
100mm MT-12 anti-tank gun,Ukraine,Soviet Union,captured,https://i.postimg.cc/rwkdKVj0/g5d.png,Towed Artillery
100mm MT-12 anti-tank gun,Ukraine,Soviet Union,abandoned,https://i.postimg.cc/MGrVpjLq/n2.png,Towed Artillery
120mm 2B11/2S12,Russia,Soviet Union,captured,https://i.postimg.cc/Xv95D8vY/579.png,Heavy Mortars
120mm 2B11/2S12,Russia,Soviet Union,captured,https://i.postimg.cc/SNc6Bh3F/524.png,Heavy Mortars
120mm 2B11/2S12,Russia,Soviet Union,captured,https://i.postimg.cc/SKhJwYXP/4703.png,Heavy Mortars
120mm 2B11/2S12,Russia,Soviet Union,captured,https://i.postimg.cc/mrwKqRw8/Screenshot-8952.png,Heavy Mortars
120mm 2B11/2S12A,Russia,Russia,captured,https://i.postimg.cc/x11CC0NR/550.png,Heavy Mortars
120mm 2B16 Nona-K howitzer,Russia,Soviet Union,captured,https://i.postimg.cc/wx2TJysb/4f2.jpg ,Towed Artillery
120mm 2S9 Nona,Russia,Soviet Union,destroyed,https://i.postimg.cc/TPknCLcF/55433.jpg ,Self-Propelled Artillery
120mm 2S9 Nona,Russia,Soviet Union,abandoned,https://i.postimg.cc/KcgFMz7v/543.png,Self-Propelled Artillery
120mm 2S9 Nona,Russia,Soviet Union,captured,https://i.postimg.cc/bwPz8VWX/6522.jpg,Self-Propelled Artillery
120mm 2S9 Nona,Russia,Soviet Union,captured,https://i.postimg.cc/hvz00pQc/432u.png,Self-Propelled Artillery
120mm 2S9 Nona,Russia,Soviet Union,captured,https://i.postimg.cc/Nfx4tqpS/5580.png,Self-Propelled Artillery
122mm 2B17 Tornado-G,Russia,Russia,destroyed,https://i.postimg.cc/fbsfnMYf/bb3.jpg,Multiple Rocket Launchers
122mm 2S1 Gvozdika,Ukraine,Soviet Union,captured,https://i.postimg.cc/v80csqYp/f67.png,Self-Propelled Artillery
122mm 2S1 Gvozdika,Ukraine,Soviet Union,abandoned,https://i.postimg.cc/MKTfGGmK/334.png,Self-Propelled Artillery
122mm 2S1 Gvozdika,Ukraine,Soviet Union,captured,https://i.postimg.cc/x1nDQ4cP/Screenshot-8055.png,Self-Propelled Artillery
122mm 2S1 Gvozdika,Ukraine,Soviet Union,destroyed,https://i.postimg.cc/43cbmftq/4466.png,Self-Propelled Artillery
122mm 2S1 Gvozdika,Ukraine,Soviet Union,destroyed,https://i.postimg.cc/kG6swKK7/760.png,Self-Propelled Artillery
122mm 2S1 Gvozdika,Russia,Soviet Union,captured,https://i.postimg.cc/mrc8qtCb/3368.png,Self-Propelled Artillery
122mm 2S1 Gvozdika,Ukraine,Soviet Union,captured,https://postimg.cc/dh3pzgQm,Self-Propelled Artillery
122mm 2S1 Gvozdika,Russia,Soviet Union,destroyed,https://i.postimg.cc/TwswzQQW/f69.png,Self-Propelled Artillery
122mm 2S1 Gvozdika,Russia,Soviet Union,abandoned,https://i.postimg.cc/qBYJLRq1/63.png ,Self-Propelled Artillery
122mm 2S1 Gvozdika,Ukraine,Soviet Union,destroyed,https://i.postimg.cc/GhrFyfCw/4fhj.png,Self-Propelled Artillery
122mm 2S1 Gvozdika,Ukraine,Soviet Union,destroyed,https://i.postimg.cc/R0r6NcvQ/5577.png,Self-Propelled Artillery
122mm BM-21 'Grad',Russia,Soviet Union,destroyed,https://i.postimg.cc/8c0jfFn1/b6.png,Multiple Rocket Launchers
122mm BM-21 'Grad',Russia,Soviet Union,abandoned,https://i.postimg.cc/1t68G6Ls/Screenshot-8400.png,Multiple Rocket Launchers
122mm BM-21 'Grad',Russia,Soviet Union,destroyed,https://i.postimg.cc/B65zvHbK/b6.png,Multiple Rocket Launchers
122mm BM-21 'Grad',Russia,Soviet Union,captured,https://i.postimg.cc/Pf9Tm660/b7.png,Multiple Rocket Launchers
122mm BM-21 'Grad',Russia,Soviet Union,destroyed,https://i.postimg.cc/x16gjzR1/442.png,Multiple Rocket Launchers
122mm BM-21 'Grad',Russia,Soviet Union,captured,https://i.postimg.cc/BvrV7rWP/v66.png,Multiple Rocket Launchers
122mm BM-21 'Grad',Russia,Soviet Union,destroyed,https://i.postimg.cc/D0J34rK1/v554.png,Multiple Rocket Launchers
122mm BM-21 'Grad',Russia,Soviet Union,destroyed,https://i.postimg.cc/L6z7w58H/331.png,Multiple Rocket Launchers
122mm BM-21 'Grad',Russia,Soviet Union,captured,https://i.postimg.cc/Dz8rx8Cw/54220.jpg,Multiple Rocket Launchers
