system,country,status,count,class
(Unknown) vehicle,Russia,captured,1,"Trucks, Vehicles, and Jeeps"
(Unknown) vehicle,Russia,destroyed,4,"Trucks, Vehicles, and Jeeps"
100mm MT-12 anti-tank gun,Ukraine,abandoned,1,Towed Artillery
100mm MT-12 anti-tank gun,Ukraine,captured,2,Towed Artillery
120mm 2B11/2S12,Russia,captured,4,Heavy Mortars
120mm 2B11/2S12A,Russia,captured,1,Heavy Mortars
120mm 2B16 Nona-K howitzer,Russia,captured,1,Towed Artillery
120mm 2S9 Nona,Russia,abandoned,1,Self-Propelled Artillery
120mm 2S9 Nona,Russia,captured,3,Self-Propelled Artillery
120mm 2S9 Nona,Russia,destroyed,1,Self-Propelled Artillery
122mm 2B17 Tornado-G,Russia,destroyed,1,Multiple Rocket Launchers
122mm 2S1 Gvozdika,Russia,abandoned,1,Self-Propelled Artillery
122mm 2S1 Gvozdika,Russia,captured,1,Self-Propelled Artillery
122mm 2S1 Gvozdika,Russia,destroyed,1,Self-Propelled Artillery
122mm 2S1 Gvozdika,Ukraine,captured,3,Self-Propelled Artillery
122mm 2S1 Gvozdika,Ukraine,destroyed,4,Self-Propelled Artillery
122mm 2S1 Gvozdika,Ukraine,abandoned,1,Self-Propelled Artillery
122mm BM-21 'Grad',Russia,damaged,1,Multiple Rocket Launchers
122mm BM-21 'Grad',Russia,destroyed,5,Multiple Rocket Launchers
122mm BM-21 'Grad',Russia,abandoned,2,Multiple Rocket Launchers
122mm BM-21 'Grad',Russia,captured,5,Multiple Rocket Launchers
122mm D-30 howitzer,Ukraine,destroyed,1,Towed Artillery
122mm D-30 howitzer 2A18,Russia,abandoned,3,Towed Artillery
122mm D-30 howitzer 2A18,Russia,captured,2,Towed Artillery
122mm D-30 howitzer 2A18,Russia,destroyed,1,Towed Artillery
152mm 2A36 Giatsint-B field-gun,Ukraine,abandoned,1,Towed Artillery
152mm 2A65 Msta-B howitzer,Russia,abandoned,1,Towed Artillery
152mm 2A65 Msta-B howitzer,Russia,captured,1,Towed Artillery
152mm 2A65 Msta-B howitzer,Russia,damaged,1,Towed Artillery
152mm 2A65 Msta-B howitzer,Russia,destroyed,3,Towed Artillery
152mm 2A65 Msta-B howitzer,Ukraine,abandoned,2,Towed Artillery
152mm 2S19 Msta-S,Russia,abandoned,9,Self-Propelled Artillery
152mm 2S19 Msta-S,Russia,destroyed,3,Self-Propelled Artillery
152mm 2S19 Msta-S,Russia,captured,4,Self-Propelled Artillery
152mm 2S3 Akatsiya,Russia,destroyed,2,Self-Propelled Artillery
152mm 2S3 Akatsiya,Russia,captured,1,Self-Propelled Artillery
152mm 2S3 Akatsiya,Russia,abandoned,2,Self-Propelled Artillery
1L22 'Parol',Ukraine,damaged,1,Radars
1L22 'Parol',Ukraine,destroyed,1,Radars
1V119 artillery battalion fire direction vehicle,Russia,destroyed,1,Armoured Fighting Vehicles
1V119 artillery battalion fire direction vehicle,Russia,captured,2,Armoured Fighting Vehicles
1V13 battery fire control center,Russia,captured,1,Armoured Fighting Vehicles
1V13 battery fire control center,Russia,abandoned,1,Armoured Fighting Vehicles
1V18 'Klyon-1' artillery command and forward observer vehicle,Ukraine,captured,1,Armoured Fighting Vehicles
220mm BM-27 'Uragan',Russia,destroyed,1,Multiple Rocket Launchers
220mm BM-27 'Uragan',Russia,abandoned,1,Multiple Rocket Launchers
220mm BM-27 'Uragan',Ukraine,captured,2,Multiple Rocket Launchers
220mm TOS-1A,Russia,captured,1,Multiple Rocket Launchers
23mm ZU-23,Ukraine,captured,1,Anti-Aircraft Guns
23mm ZU-23,Russia,captured,2,Anti-Aircraft Guns
2K22M1 Tunguska,Russia,damaged,1,Self-Propelled Anti-Aircraft Guns
2K22M1 Tunguska,Russia,abandoned,4,Self-Propelled Anti-Aircraft Guns
2S1 with ZU-23 AA gun,Russia,captured,1,Armoured Fighting Vehicles
5P85D (launcher for S-300PS),Ukraine,destroyed,1,Surface-To-Air Missile Systems
5P85S (launcher for S-300PS),Ukraine,destroyed,1,Surface-To-Air Missile Systems
9A310M1 TELAR (for Buk-M1-2),Russia,destroyed,1,Surface-To-Air Missile Systems
9A310M1 TELAR (for Buk-M1-2),Russia,damaged,1,Surface-To-Air Missile Systems
9A310M2 TELAR (for Buk-M2),Russia,destroyed,3,Surface-To-Air Missile Systems
9A330 Tor TLAR (for 9K330 Tor-M),Russia,abandoned,1,Surface-To-Air Missile Systems
9A330 Tor TLAR (for 9K330 Tor-M),Russia,captured,2,Surface-To-Air Missile Systems
9A331 TLAR (for 9K331 Tor-M1),Russia,captured,1,Surface-To-Air Missile Systems
9A331 TLAR (for 9K331 Tor-M1),Russia,abandoned,1,Surface-To-Air Missile Systems
9A331M TLAR (for 9K332 Tor-M2),Russia,captured,1,Surface-To-Air Missile Systems
9A331M TLAR (for 9K332 Tor-M2),Russia,destroyed,1,Surface-To-Air Missile Systems
9A39M1 TEL (for Buk-M1-2),Russia,destroyed,1,Surface-To-Air Missile Systems
9A39M2 TEL (for Buk-M2),Russia,destroyed,1,Surface-To-Air Missile Systems
9K310 Igla-1,Ukraine,captured,4,Man-Portable Air Defense Systems
9K33 Osa,Russia,abandoned,1,"Trucks, Vehicles, and Jeeps"
